Date,Close
2015-01-01,203.0500030517578
2015-01-02,205.10000610351562
2015-01-05,205.25
2015-01-06,198.0500030517578
2015-01-07,197.39999389648438
2015-01-08,203.5
2015-01-09,199.9499969482422
2015-01-12,200.1999969482422
2015-01-13,196.75
2015-01-14,195.1999969482422
2015-01-15,211.4499969482422
2015-01-16,212.35000610351562
2015-01-19,212.75
2015-01-20,215.6999969482422
2015-01-21,215.0500030517578
2015-01-22,216.35000610351562
2015-01-23,219.60000610351562
2015-01-27,222.25
2015-01-28,225.1999969482422
2015-01-29,231.4499969482422
2015-01-30,236.8000030517578
2015-02-02,238.10000610351562
2015-02-03,234.85000610351562
2015-02-04,237.5500030517578
2015-02-05,231.1999969482422
2015-02-06,229.8000030517578
2015-02-09,223.9499969482422
2015-02-10,223.8000030517578
2015-02-11,225.25
2015-02-12,228.64999389648438
2015-02-13,226.4499969482422
2015-02-16,229.1999969482422
2015-02-18,228.10000610351562
2015-02-19,229.64999389648438
2015-02-20,231.9499969482422
2015-02-23,228.10000610351562
2015-02-24,229.10000610351562
2015-02-25,229.89999389648438
2015-02-26,230.8000030517578
2015-02-27,241.10000610351562
2015-03-02,238.60000610351562
2015-03-03,234.89999389648438
2015-03-04,234.25
2015-03-05,234.14999389648438
2015-03-09,227.60000610351562
2015-03-10,223.0
2015-03-11,224.3000030517578
2015-03-12,227.75
2015-03-13,225.9499969482422
2015-03-16,228.85000610351562
2015-03-17,230.25
2015-03-18,230.5
2015-03-19,226.85000610351562
2015-03-20,218.0500030517578
2015-03-23,217.5500030517578
2015-03-24,216.89999389648438
2015-03-25,217.0
2015-03-26,213.1999969482422
2015-03-27,211.64999389648438
2015-03-30,216.0500030517578
2015-03-31,216.14999389648438
2015-04-01,219.39999389648438
2015-04-06,234.14999389648438
2015-04-07,230.25
2015-04-08,232.85000610351562
2015-04-09,230.9499969482422
2015-04-10,232.39999389648438
2015-04-13,232.6999969482422
2015-04-15,229.9499969482422
2015-04-16,224.3000030517578
2015-04-17,222.14999389648438
2015-04-20,216.0500030517578
2015-04-21,215.3000030517578
2015-04-22,215.35000610351562
2015-04-23,213.5500030517578
2015-04-24,205.0
2015-04-27,196.5500030517578
2015-04-28,200.0
2015-04-29,201.60000610351562
2015-04-30,204.8000030517578
2015-05-04,210.1999969482422
2015-05-05,212.85000610351562
2015-05-06,203.9499969482422
2015-05-07,199.10000610351562
2015-05-08,207.35000610351562
2015-05-11,209.25
2015-05-12,201.89999389648438
2015-05-13,200.35000610351562
2015-05-14,202.5500030517578
2015-05-15,200.14999389648438
2015-05-18,200.25
2015-05-19,200.9499969482422
2015-05-20,200.5500030517578
2015-05-21,202.6999969482422
2015-05-22,202.25
2015-05-25,201.0500030517578
2015-05-26,199.75
2015-05-27,200.8000030517578
2015-05-28,200.5500030517578
2015-05-29,199.5
2015-06-01,203.5500030517578
2015-06-02,195.4499969482422
2015-06-03,183.75
2015-06-04,185.39999389648438
2015-06-05,182.25
2015-06-08,180.8000030517578
2015-06-09,177.8000030517578
2015-06-10,179.25
2015-06-11,174.85000610351562
2015-06-12,174.5500030517578
2015-06-15,174.6999969482422
2015-06-16,174.89999389648438
2015-06-17,175.75
2015-06-18,175.35000610351562
2015-06-19,173.8000030517578
